"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
16093	24840	"Le Gesvres"	47.27222	-1.59583	50	"AWI"	50	-52	289	208	0	1	3	2	3	0	0	0	0	1	0	1	0	0	3	0	0	27	0	0	4	0	0	34	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	134	0	0	0	0	1	5	0	46	0	0	5	0	15	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	55	"AWI"	55	-49	316	234	0	0	4	1	6	0	1	0	0	2	0	2	0	0	2	0	0	14	0	0	8	0	0	66	0	3	0	0	0	6	0	0	0	0	0	1	0	4	0	1	0	1	0	90	0	0	0	0	1	4	0	58	0	0	0	0	21	0	0	0	2	0	1	6	2	0	0	2	0	0	0	0	2	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	60	"AWI"	60	-48	343	260	1	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	7	0	0	11	0	0	53	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	3	0	2	0	115	0	0	1	0	1	3	0	41	0	0	0	1	18	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	65	"AWI"	65	-48	373	286	0	0	6	2	0	2	3	0	0	0	0	2	0	0	2	0	0	9	0	0	5	0	0	70	0	6	0	0	0	5	0	0	0	0	0	0	0	5	0	3	0	4	0	55	0	0	0	0	2	7	0	74	0	0	12	3	40	0	0	0	20	0	0	6	20	0	0	3	0	0	0	0	2	1	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	70	"AWI"	70	-47	401	311	1	0	3	2	4	1	3	0	0	2	0	3	0	0	1	0	0	11	0	0	1	0	0	80	0	6	0	0	0	5	0	0	0	0	0	0	0	2	0	1	0	1	0	50	0	0	0	0	1	8	0	45	0	0	3	2	29	0	0	0	34	0	0	8	20	0	0	4	0	0	0	0	1	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	75	"AWI"	75	-47	431	337	1	0	6	1	0	1	0	0	0	1	0	3	0	0	4	0	0	7	0	0	3	0	0	54	0	0	1	0	0	3	2	0	0	0	1	1	0	3	0	0	0	3	0	72	0	0	0	0	1	7	0	50	0	0	2	0	19	0	0	0	11	0	0	8	13	0	0	2	0	0	1	0	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	80	"AWI"	80	-44	461	362	0	2	6	2	8	2	2	0	0	1	0	2	0	0	5	0	0	4	0	0	0	0	0	82	0	4	0	0	0	4	0	0	0	0	0	1	0	3	0	1	0	3	0	65	0	0	0	0	2	3	0	36	0	0	4	0	42	0	0	0	62	0	0	11	25	0	0	2	0	0	0	0	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	85	"AWI"	85	-42	491	387	0	0	10	2	0	1	2	0	0	10	0	2	0	0	1	0	0	5	0	0	3	0	0	48	0	5	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	7	0	46	0	0	0	0	0	3	0	49	0	0	6	0	52	0	0	0	28	0	0	0	0	0	0	4	0	0	0	0	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	90	"AWI"	90	-41	521	413	0	0	37	4	0	3	2	0	0	11	0	0	0	0	7	0	0	0	0	0	40	0	0	8	0	30	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	4	0	18	0	0	0	0	1	2	0	26	0	1	0	0	94	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	2	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	95	"AWI"	95	-39	551	439	0	0	3	2	0	1	0	0	0	3	0	1	0	0	5	0	0	2	0	0	9	0	0	77	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	53	0	0	0	0	2	6	0	0	0	0	3	0	16	0	0	0	9	0	1	0	21	0	0	2	0	0	0	0	0	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	100	"AWI"	100	-37	582	464	0	0	7	1	0	0	1	0	0	4	0	2	0	0	4	0	0	1	0	0	7	0	0	46	0	4	0	0	0	4	0	0	0	0	0	0	0	3	0	3	0	4	0	25	0	0	2	0	2	3	0	50	0	0	5	1	42	0	0	0	7	0	0	9	29	0	0	1	0	0	0	0	0	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	105	"AWI"	105	-34	612	490	1	1	33	2	6	0	3	0	0	5	0	1	0	0	1	0	0	3	0	0	8	0	1	8	0	6	0	0	0	7	0	1	0	0	2	0	0	4	0	2	0	2	0	34	0	0	1	0	2	6	0	18	0	0	4	0	91	0	0	0	6	0	0	0	48	0	0	3	0	0	0	0	2	2	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	110	"AWI"	110	-32	642	515	0	0	33	1	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	16	0	0	25	0	4	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	5	0	23	0	0	0	0	1	2	0	33	0	0	0	1	62	0	0	0	0	0	0	8	57	0	0	1	0	0	0	0	0	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	115	"AWI"	115	-31	673	540	0	0	22	1	3	2	0	0	0	13	0	1	0	0	2	0	0	1	0	0	16	0	0	33	0	10	0	0	0	8	0	1	0	0	0	0	0	0	0	5	0	3	0	23	0	0	1	0	0	6	0	28	0	0	6	1	47	0	0	0	6	0	1	0	50	0	0	6	0	2	0	0	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	120	"AWI"	120	-24	692	559	0	0	32	0	0	0	0	0	0	11	0	2	0	0	1	0	0	2	0	0	36	0	0	10	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	24	0	0	0	1	70	0	0	0	5	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	125	"AWI"	125	-8	706	576	0	0	25	2	5	1	1	0	0	12	0	0	0	0	1	0	0	5	0	0	7	0	0	22	0	4	0	0	0	3	1	0	0	0	0	0	0	2	0	1	0	3	0	15	0	0	1	0	2	2	0	27	0	0	6	2	36	0	0	0	9	0	2	0	46	0	0	6	0	0	0	0	0	0	0	0
