"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3107	4042	"Lake Flarken"	58.55679	13.67319	2.5	"AWI"	2.5	-37	120	39	1	290	3	1	0	6	0	0	0	0	0	124	0	0	16	0	0	1	3	0	79	1	0	0	2	318	880	0	162	0	0	67	3	0	0	15	3	0	0	0	19	8	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	7.5	"AWI"	7.5	143	358.5	254.5	1	242	3	3	0	0	0	0	0	0	1	176	0	0	0	0	0	5	0	0	86	0	0	0	1	354	921	0	143	1	0	78	6	0	0	12	7	0	0	0	30	11	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	12.5	"AWI"	12.5	302	621	470.5	0	327	3	3	0	3	0	0	0	0	0	129	0	0	0	0	0	0	0	0	120	0	0	0	0	219	894	0	187	0	0	71	1	0	0	20	3	0	0	0	15	18	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	17.5	"AWI"	17.5	457.5	892	685.5	1	322	0	0	0	1	0	0	0	0	0	148	0	0	0	0	0	2	0	0	179	0	0	0	1	490	798	3	155	1	1	68	0	0	0	10	8	0	0	0	18	4	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	22.5	"AWI"	22.5	745.5	1053.5	882	0	344	2	0	0	5	0	0	0	0	0	110	0	0	0	0	0	1	0	0	79	0	0	0	0	350	730	0	112	0	0	62	1	0	0	8	6	0	0	0	30	11	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	27.5	"AWI"	27.5	858	1366	1077	0	383	1	1	0	9	0	0	0	0	1	174	0	0	0	0	0	8	1	0	89	0	0	0	1	133	554	0	120	0	1	123	2	0	0	5	5	0	0	0	20	5	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	32.5	"AWI"	32.5	913	1802	1264	0	426	2	1	0	3	0	0	0	0	1	139	0	0	0	0	0	2	2	0	39	0	0	0	0	101	582	0	107	0	0	101	3	0	0	9	1	1	0	0	22	9	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	37.5	"AWI"	37.5	954	2250.5	1447.5	0	486	4	3	0	3	0	0	0	0	0	187	0	0	0	1	0	5	2	0	50	0	0	0	5	162	602	0	93	0	0	141	1	0	0	6	4	0	0	0	29	15	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	42.5	"AWI"	42.5	1174	2322	1648	0	397	1	0	0	0	0	0	0	0	0	180	0	0	0	0	0	4	1	0	52	0	0	0	0	199	607	0	104	0	0	141	6	0	0	7	7	0	0	0	42	20	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	47.5	"AWI"	47.5	1311	2376.5	1859.5	0	360	5	1	0	2	0	0	0	0	0	206	0	0	0	0	0	3	0	0	18	0	0	0	2	165	498	0	92	0	0	157	4	0	0	6	4	2	0	0	25	17	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	52.5	"AWI"	52.5	1422	2462.5	2066.5	0	314	0	2	0	7	0	0	0	0	1	232	0	0	0	0	0	2	1	0	11	0	0	0	4	74	442	0	76	0	0	166	1	0	0	5	3	0	0	0	42	17	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	57.5	"AWI"	57.5	1568	2610.5	2260.5	1	365	2	0	0	6	0	0	0	0	0	301	0	1	0	0	0	2	1	0	6	0	0	0	4	109	707	0	0	0	0	210	4	0	0	3	12	0	0	0	32	20	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	62.5	"AWI"	62.5	2023.5	2651.5	2398.5	0	392	3	3	0	8	0	0	0	1	0	253	0	0	0	0	1	2	1	0	12	0	0	0	5	22	385	0	131	0	0	191	2	0	0	7	3	0	0	0	39	17	1	0
3107	4042	"Lake Flarken"	58.55679	13.67319	67.5	"AWI"	67.5	2353.5	2730.5	2555.5	0	388	0	1	0	7	0	0	0	0	0	330	0	0	0	0	0	2	3	0	9	0	0	0	2	31	509	0	0	0	0	208	8	0	0	7	8	0	0	0	27	22	1	0
