"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14273	22344	"Hurecká slat"	49.15258	13.325802	5	"AWI"	5	-136	29	-56	0	0	2	0	0	0	0	1	0	7	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	10	"AWI"	10	-67	495	106	5	0	10	3	0	0	0	0	0	30	0	0	0	0	0	0	0	2	3	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	24	0	0	16	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	15	"AWI"	15	15	772	291	2	2	12	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	2	0	74	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	20	"AWI"	20	131	1014	482	9	0	32	1	0	2	0	6	0	153	0	1	0	0	0	0	0	57	23	0	0	0	0	49	0	1	0	0	2	0	0	0	0	1	0	102	0	0	54	0	0	0	0	14	3	0	0	3	0	0	0	0	0	4	3	0
14273	22344	"Hurecká slat"	49.15258	13.325802	22	"AWI"	22	192	1054	556	20	0	28	1	0	0	0	2	0	80	0	0	0	0	0	0	0	20	9	0	0	0	1	83	0	1	0	0	1	0	0	0	0	5	0	57	0	0	51	0	0	0	0	11	2	0	1	9	1	0	0	0	0	0	1	0
14273	22344	"Hurecká slat"	49.15258	13.325802	25	"AWI"	25	245	1198	669	13	1	8	1	0	0	0	1	0	45	0	0	0	0	0	1	0	15	0	0	0	0	0	36	0	2	0	0	0	0	0	0	0	1	0	103	0	0	0	0	0	0	0	8	1	0	0	0	1	0	0	0	0	0	2	0
14273	22344	"Hurecká slat"	49.15258	13.325802	27	"AWI"	27	327	1252	743	39	0	25	1	0	0	0	3	0	56	0	1	0	1	0	0	0	15	4	0	0	0	0	83	0	0	0	0	2	0	0	0	0	5	0	133	0	9	34	0	0	0	0	13	0	0	0	6	1	0	0	0	0	0	3	1
14273	22344	"Hurecká slat"	49.15258	13.325802	30	"AWI"	30	416	1369	860	23	0	52	0	0	0	0	5	0	94	0	0	0	0	0	0	0	31	8	0	0	0	0	218	0	0	0	0	0	0	0	0	0	11	0	228	0	0	0	0	0	0	0	20	11	0	0	1	2	0	0	0	0	5	7	0
14273	22344	"Hurecká slat"	49.15258	13.325802	32	"AWI"	32	484	1414	931	45	2	43	0	0	0	0	3	0	28	0	0	0	0	0	0	0	22	0	0	0	0	0	121	0	1	0	0	0	0	0	0	0	7	0	199	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	1	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	35	"AWI"	35	568	1519	1055	54	0	48	2	0	1	0	2	0	39	0	0	0	2	0	0	0	23	8	0	0	0	0	201	1	1	0	0	0	0	1	0	0	14	0	149	0	0	0	0	0	0	0	26	0	0	0	1	0	0	1	0	0	1	2	0
14273	22344	"Hurecká slat"	49.15258	13.325802	37	"AWI"	37	641	1579	1128	24	0	42	1	0	0	0	0	0	20	0	0	0	0	0	1	0	12	0	0	0	0	0	97	0	2	0	0	0	0	0	0	0	5	0	272	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0
14273	22344	"Hurecká slat"	49.15258	13.325802	40	"AWI"	40	716	1689	1234	63	0	65	0	0	0	0	0	0	70	0	0	0	0	0	0	0	19	7	0	0	0	0	234	0	3	0	0	0	0	0	0	0	26	0	163	0	0	0	0	0	0	0	22	1	0	0	0	1	0	0	0	1	3	3	0
14273	22344	"Hurecká slat"	49.15258	13.325802	42	"AWI"	42	807	1733	1311	29	0	29	0	0	0	0	0	0	20	0	0	0	0	0	0	0	29	1	0	0	0	0	110	0	1	0	0	0	0	0	0	0	8	0	82	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	1	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	45	"AWI"	45	927	1840	1430	64	0	34	0	0	0	0	1	0	20	0	0	0	0	0	0	0	22	5	0	0	0	0	126	0	0	0	0	0	0	0	0	0	10	0	109	0	0	0	0	0	0	0	18	0	0	1	0	1	0	0	0	0	0	5	0
14273	22344	"Hurecká slat"	49.15258	13.325802	47	"AWI"	47	1035	1883	1501	26	0	40	0	0	1	0	2	0	15	0	0	0	0	0	0	0	11	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	4	0	224	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	50	"AWI"	50	1133	1981	1605	36	0	39	0	0	0	0	2	0	16	0	1	0	0	0	0	0	14	6	0	0	0	0	149	0	0	0	0	1	0	0	0	0	15	0	55	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	2	0
14273	22344	"Hurecká slat"	49.15258	13.325802	52	"AWI"	52	1264	2023	1682	43	1	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	3	0	0	0	0	68	0	1	0	0	0	0	0	0	0	7	0	61	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0
14273	22344	"Hurecká slat"	49.15258	13.325802	55	"AWI"	55	1385	2114	1804	16	0	65	0	0	0	0	0	0	31	0	0	0	0	0	0	0	15	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	10	0	76	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	57	"AWI"	57	1520	2150	1870	54	1	44	0	0	0	0	0	0	68	0	0	1	0	0	0	0	26	1	0	0	0	0	99	0	2	0	0	0	0	0	0	0	2	0	75	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0
14273	22344	"Hurecká slat"	49.15258	13.325802	60	"AWI"	60	1647	2226	1979	47	0	66	0	0	0	0	5	0	85	0	0	0	0	0	1	0	27	14	0	0	0	0	178	0	1	0	2	0	0	0	0	0	9	0	92	0	0	0	0	0	0	0	30	2	0	0	4	0	0	0	0	0	11	3	0
14273	22344	"Hurecká slat"	49.15258	13.325802	62	"AWI"	62	1846	2253	2034	17	0	44	0	0	0	0	2	0	28	0	0	0	0	0	2	0	7	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	2	0	151	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	1	1	0
14273	22344	"Hurecká slat"	49.15258	13.325802	64	"AWI"	64	1968	2294	2101	29	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	0	0	42	0	1	0	0	0	0	0	0	0	1	0	63	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0
