"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Nothofagus"	"Poaceae"	"Ulmaceae"
216	217	"Lake Åsa"	-62.62861	-61.13472	5	"AWI"	5	873	1382	1183	0	100	0
216	217	"Lake Åsa"	-62.62861	-61.13472	10	"AWI"	10	1790	2819	2426	57.1428571428571	14.2857142857143	28.5714285714286
216	217	"Lake Åsa"	-62.62861	-61.13472	15	"AWI"	15	2125	2868	2564	0	0	100
216	217	"Lake Åsa"	-62.62861	-61.13472	23	"AWI"	23	2362	3012	2791	0	0	100
216	217	"Lake Åsa"	-62.62861	-61.13472	28	"AWI"	28	2445	3063	2856	66.6666666666667	33.3333333333333	0
216	217	"Lake Åsa"	-62.62861	-61.13472	30	"AWI"	30	2469	3089	2882	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	33	"AWI"	33	2508	3114	2911	50	0	50
216	217	"Lake Åsa"	-62.62861	-61.13472	35	"AWI"	35	2532	3133	2928	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	40	"AWI"	40	2576	3201	2969	0	100	0
216	217	"Lake Åsa"	-62.62861	-61.13472	50	"AWI"	50	2753	3323	3124	0	0	100
216	217	"Lake Åsa"	-62.62861	-61.13472	55	"AWI"	55	2945	3353	3194	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	60	"AWI"	60	3055	3423	3271	0	100	0
216	217	"Lake Åsa"	-62.62861	-61.13472	85	"AWI"	85	3366	3865	3623	0	100	0
216	217	"Lake Åsa"	-62.62861	-61.13472	90	"AWI"	90	3396	3949	3672	0	100	0
216	217	"Lake Åsa"	-62.62861	-61.13472	98	"AWI"	98	3544	4104	3842	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	100	"AWI"	100	3563	4172	3879	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	105	"AWI"	105	3750	4229	3994	25	75	0
216	217	"Lake Åsa"	-62.62861	-61.13472	110	"AWI"	110	3849	4337	4114	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	118	"AWI"	118	3980	4416	4220	0	0	100
216	217	"Lake Åsa"	-62.62861	-61.13472	130	"AWI"	130	4075	4617	4351	50	50	0
216	217	"Lake Åsa"	-62.62861	-61.13472	135	"AWI"	135	4131	4676	4405	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	140	"AWI"	140	4165	4767	4458	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	150	"AWI"	150	4251	4919	4564	28.5714285714286	0	71.4285714285714
216	217	"Lake Åsa"	-62.62861	-61.13472	155	"AWI"	155	4296	4969	4624	66.6666666666667	33.3333333333333	0
216	217	"Lake Åsa"	-62.62861	-61.13472	163	"AWI"	163	4381	5085	4722	100	0	0
216	217	"Lake Åsa"	-62.62861	-61.13472	175	"AWI"	175	4536	5264	4891	33.3333333333333	33.3333333333333	33.3333333333333
216	217	"Lake Åsa"	-62.62861	-61.13472	180	"AWI"	180	4596	5360	4964	50	50	0
216	217	"Lake Åsa"	-62.62861	-61.13472	188	"AWI"	188	4730	5472	5093	33.3333333333333	66.6666666666667	0
216	217	"Lake Åsa"	-62.62861	-61.13472	211	"AWI"	211	5171	6033	5538	0	0	100
216	217	"Lake Åsa"	-62.62861	-61.13472	215	"AWI"	215	5255	6314	5673	0	100	0
